"","Con1","Con2","Con3","Ko1","Ko2","Ko3"
"ENSMUSG00000102628",0,0,0,0,0,0
"ENSMUSG00000100595",0,0,0,0,0,0
"ENSMUSG00000097426",0,0,2,0,0,0
"ENSMUSG00000104478",0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0
"ENSMUSG00000086053",0,0,0,0,0,0
"ENSMUSG00000101231",0,0,0,0,0,0
"ENSMUSG00000102135",6,0,9,0,12,2
"ENSMUSG00000103282",0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0
"ENSMUSG00000100764",1,17,8,0,4,12
"ENSMUSG00000102095",0,4,0,0,0,2
"ENSMUSG00000102534",0,0,3,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0
"ENSMUSG00000100635",0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0
"ENSMUSG00000100480",2,0,18,2,6,4
"ENSMUSG00000089037",0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0
"ENSMUSG00000100025",8,0,6,0,0,0
"ENSMUSG00000051285",912,2910,9632,818,3940,7162
"ENSMUSG00000098201",0,0,0,0,0,0
"ENSMUSG00000103509",0,2,24,0,0,0
"ENSMUSG00000048538",24,188,522,18,337,360
"ENSMUSG00000103709",0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0
"ENSMUSG00000097797",18,40,28,0,0,13
"ENSMUSG00000103498",0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0
"ENSMUSG00000103557",0,0,0,0,0,0
"ENSMUSG00000026312",74,194,719,132,650,881
"ENSMUSG00000100290",0,0,0,0,0,0
"ENSMUSG00000100758",0,0,0,0,0,0
"ENSMUSG00000099926",0,0,0,0,0,0
"ENSMUSG00000039748",12,10,32,0,26,16
"ENSMUSG00000118715",0,0,0,0,0,0
"ENSMUSG00000104158",0,0,0,0,0,0
"ENSMUSG00000103540",0,0,0,0,0,0
"ENSMUSG00000057363",324,1428,4082,204,1569,1750
"ENSMUSG00000047216",10,18,38,0,50,100
"ENSMUSG00000102788",0,0,0,0,0,0
"ENSMUSG00000102160",0,0,0,0,0,0
"ENSMUSG00000101253",0,0,0,0,0,0
"ENSMUSG00000101846",0,0,0,0,0,0
"ENSMUSG00000090243",2,0,10,0,0,0
"ENSMUSG00000100701",0,2,17,0,8,4
"ENSMUSG00000100555",0,0,2,0,0,0
"ENSMUSG00000101395",0,0,0,0,0,0
"ENSMUSG00000102728",0,0,0,0,0,0
"ENSMUSG00000088848",0,0,0,0,0,0
"ENSMUSG00002075225",0,0,0,0,0,0
"ENSMUSG00000038702",114,531,1532,78,400,808
"ENSMUSG00000101875",0,0,0,0,0,0
"ENSMUSG00000099732",0,0,0,0,0,0
"ENSMUSG00000101220",0,0,0,0,0,0
"ENSMUSG00000100020",0,0,0,0,0,0
"ENSMUSG00000101054",0,0,0,0,0,0
"ENSMUSG00000088691",0,0,0,0,0,0
"ENSMUSG00000099884",0,0,0,0,0,0
"ENSMUSG00000100304",0,0,0,0,0,0
"ENSMUSG00000101453",0,0,0,0,0,0
"ENSMUSG00000102105",0,0,0,0,0,0
"ENSMUSG00000099943",0,0,0,0,0,0
"ENSMUSG00002075119",0,0,0,0,0,0
"ENSMUSG00000097648",0,0,0,0,0,0
"ENSMUSG00000101687",0,0,0,0,0,0
"ENSMUSG00000100515",0,0,0,0,0,0
"ENSMUSG00000033021",1910,9928,24751,1089,5927,7543
"ENSMUSG00000055214",16,34,20,2,20,10
"ENSMUSG00000078184",6,4,28,0,2,2
"ENSMUSG00000104363",0,0,0,0,0,0
"ENSMUSG00000103277",0,0,0,0,0,0
"ENSMUSG00000104157",0,0,0,0,0,0
"ENSMUSG00000102446",0,0,0,0,0,0
"ENSMUSG00000104248",0,0,0,0,0,0
"ENSMUSG00000104021",0,0,0,0,0,0
"ENSMUSG00000103471",0,0,0,0,0,0
"ENSMUSG00000087875",0,0,0,0,0,0
"ENSMUSG00000033007",1,0,13,0,2,8
