Name;GSM3711329_WT1_NT;GSM3711330_WT2_NT;GSM3711331_WT3_NT;GSM3711332_WT1_Dox;GSM3711334_WT3_Dox;GSM3711335_LOF8_NT;GSM3711336_LOF11_NT;GSM3711337_LOF15_NT;GSM3711338_LOF8_Dox;GSM3711339_LOF11_Dox;GSM3711340_LOF15_Dox;GSM3711333_WT2_Dox;
4933401J01Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Xkr4;11;43;89;5;10;11;43;89;5;10;11;43;89
Gm37180;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37363;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37686;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37329;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38148;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm10568;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38385;0;0;0;0;0;0;0;0;0;0;0;0;0
Rp1;2;2;6;1;1;2;2;6;1;1;2;2;6
Gm37483;0;0;0;0;0;0;0;0;0;0;0;0;0
Sox17;8;1;1;5;8;8;1;1;5;8;8;1;1
Mrpl15;4870;4501;7740;4034;4852;4870;4501;7740;4034;4852;4870;4501;7740
Gm37144;0;0;0;0;0;0;0;0;0;0;0;0;0
Lypla1;282;342;529;383;625;282;342;529;383;625;282;342;529
Gm37988;26;11;54;26;27;26;11;54;26;27;26;11;54
Tcea1;9462;8543;13368;7841;7538;9462;8543;13368;7841;7538;9462;8543;13368
Gm37277;0;0;0;0;1;0;0;0;0;1;0;0;0
Rgs20;69;83;102;54;75;69;83;102;54;75;69;83;102
Gm37079;0;0;0;0;0;0;0;0;0;0;0;0;0
Atp6v1h;3143;2846;4590;2957;3066;3143;2846;4590;2957;3066;3143;2846;4590
Gm37567;2;1;0;0;1;2;1;0;0;1;2;1;0
Gm38264;0;0;0;0;0;0;0;0;0;0;0;0;0
Oprk1;9;25;29;14;20;9;25;29;14;20;9;25;29
Gm37429;0;0;0;0;0;0;0;0;0;0;0;0;0
Npbwr1;0;0;1;1;0;0;0;1;1;0;0;0;1
Rb1cc1;1454;1530;2348;1674;1434;1454;1530;2348;1674;1434;1454;1530;2348
Alkal1;2;1;12;7;11;2;1;12;7;11;2;1;12
St18;1;0;9;18;15;1;0;9;18;15;1;0;9
Gm42492;0;0;0;0;0;0;0;0;0;0;0;0;0
Pcmtd1;1991;1965;3368;2273;2464;1991;1965;3368;2273;2464;1991;1965;3368
Gm38372;0;0;0;0;0;0;0;0;0;0;0;0;0
Sntg1;23;29;35;33;43;23;29;35;33;43;23;29;35
Gm38024;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38259;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37005;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37629;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37143;0;0;0;0;0;0;0;0;0;0;0;0;0
Rrs1;2285;3666;6278;2014;3427;2285;3666;6278;2014;3427;2285;3666;6278
Adhfe1;232;105;182;221;249;232;105;182;221;249;232;105;182
3110035E14Rik;4;0;1;0;0;4;0;1;0;0;4;0;1
Mybl1;446;425;610;912;784;446;425;610;912;784;446;425;610
Vcpip1;1796;1678;2899;1782;2203;1796;1678;2899;1782;2203;1796;1678;2899
Sgk3;527;444;1093;739;694;527;444;1093;739;694;527;444;1093
Mcmdc2;66;106;152;28;64;66;106;152;28;64;66;106;152
Tcf24;75;35;81;30;32;75;35;81;30;32;75;35;81
E330040D14Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Ppp1r42;0;2;1;0;0;0;2;1;0;0;0;2;1
Cops5;4263;4687;7974;4473;4960;4263;4687;7974;4473;4960;4263;4687;7974
Cspp1;1234;1339;2473;1599;1687;1234;1339;2473;1599;1687;1234;1339;2473
1700047N06Rik;0;0;0;0;0;0;0;0;0;0;0;0;0
Arfgef1;2120;2023;3925;2741;2350;2120;2023;3925;2741;2350;2120;2023;3925
Gm37569;0;0;0;0;0;0;0;0;0;0;0;0;0
Cpa6;5;1;8;4;2;5;1;8;4;2;5;1;8
Gm38005;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37133;0;0;0;0;0;0;0;0;0;0;0;0;0
Prex2;60;172;252;79;168;60;172;252;79;168;60;172;252
Gm37410;0;0;0;0;0;0;0;0;0;0;0;0;0
A830018L16Rik;50;78;171;72;129;50;78;171;72;129;50;78;171
Gm38178;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38069;0;0;0;0;0;0;0;0;0;0;0;0;0
Sulf1;551;2087;2927;316;1099;551;2087;2927;316;1099;551;2087;2927
Slco5a1;89;39;77;69;57;89;39;77;69;57;89;39;77
Gm37162;0;0;0;0;0;0;0;0;0;0;0;0;0
Prdm14;64;115;58;54;48;64;115;58;54;48;64;115;58
Ncoa2;1154;1280;1828;1146;1543;1154;1280;1828;1146;1543;1154;1280;1828
Gm38376;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37409;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38223;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37702;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38120;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm38380;0;0;0;0;0;0;0;0;0;0;0;0;0
Tram1;1932;1900;3163;2116;1594;1932;1900;3163;2116;1594;1932;1900;3163
Lactb2;2161;1132;1740;2811;1790;2161;1132;1740;2811;1790;2161;1132;1740
Gm38319;0;0;0;0;0;0;0;0;0;0;0;0;0
Xkr9;2;0;0;0;0;2;0;0;0;0;2;0;0
Gm36947;0;0;3;0;0;0;0;3;0;0;0;0;3
Gm37400;0;0;0;0;0;0;0;0;0;0;0;0;0
Eya1;111;140;307;201;535;111;140;307;201;535;111;140;307
Gm37444;0;0;0;0;0;0;0;0;0;0;0;0;0
Msc;43;69;48;69;61;43;69;48;69;61;43;69;48
Gm37412;0;2;1;2;0;0;2;1;2;0;0;2;1
Trpa1;97;143;335;279;209;97;143;335;279;209;97;143;335
Kcnb2;0;1;4;4;0;0;1;4;4;0;0;1;4
Gm38116;0;0;0;0;0;0;0;0;0;0;0;0;0
Gm37138;0;0;0;0;0;0;0;0;0;0;0;0;0
Terf1;1612;1946;3011;1456;1641;1612;1946;3011;1456;1641;1612;1946;3011
Gm37509;1;1;5;3;5;1;1;5;3;5;1;1;5
Sbspon;2;0;1;2;0;2;0;1;2;0;2;0;1
4930444P10Rik;0;1;13;0;9;0;1;13;0;9;0;1;13
